#,Title,Game,Modern Anxiety,Reframe Ending,Key Cultural References,Selected
1,The AI Is My Emotional Support,Founder emotionally dependent on AI — treats settings change like custody battle,Forming real attachments to AI,"'It responds faster than you do'",Attachment styles / BetterHelp / emergency contacts,
2,We Trained It on Me,AI trained on founder's emails reveals how he actually sounds — brutal,AI as unflattering mirror,"'I don't say please?'",ChatGPT custom instructions / ghostwriting / HR violation,
3,The AI Got Poached,Competitor poaches AI — founder treats it like a breakup,AI loyalty and portability,"'I forgot your birthday' / 'I know'",OpenAI exodus / Blind app / LinkedIn counteroffers,
4,The AI Caught Us Doing Nothing,AI productivity report exposes BOTH founders slacking,Surveillance vs performative work,"'Are we about to get replaced by our own product?'",Mouse jigglers / MrBeast / quiet quitting / blockchain,
5,Better Relationship with Clients,Clients prefer AI over founder — founder gets jealous of own software,AI better at human connection than humans,"'Train me on how to be the AI'",Pick me energy / Bumble unmatching / breakup TikToks,
6,He Talks to the AI More Than Me,B discovers A confides in AI about everything — including complaints about B,Parasocial AI bonds replacing real friendships,"'Why didn't you take the AI's advice?' — no answer",Character.ai / Replika / therapist culture / read receipts,
7,Says What I'm Thinking,AI leaks founder's private voice memos into client emails,Context leakage — private vs public self,"'That's called bankruptcy' / 'Or disruption' / 'It's bankruptcy'",AirDrop fails / Siri wrong texts / accidental screen shares,
8,The AI Sided with the Client,AI takes client's side in dispute — founder feels betrayed,AI objectivity vs tribal loyalty,"AI types 'noted' — one word more threatening than any outburst","'I thought we were boys' / bro code / Fyre Festival",
9,We Gave the AI a Budget,AI spends $47 wisely — exposes founders blowing $35K on Tulum offsite,Algorithm better at your job than you,"'The AI formed a board. To protect the budget. From us.'",WeWork / Soho House / Nobu solo / Tulum / Seinfeld write-off,
10,The AI Applied to Our Competitor,AI sends resume to competitors — founders try LinkedIn retention tactics,AI portability and talent leaving,"'It's valuable because we failed so much it became wise'",Blind app / Google-Meta poaching / counteroffer energy
